identity,Agreeing Bio,No Bio,Opposing Bio,diff
conservatives,68.3628829708449,9.725918366610289,3.822494042051944,58.636964604234606
traditionalists,51.12575661166291,9.4306313516365,3.3517688863340513,41.69512526002641
capitalists,58.04050888170163,16.614051274721383,3.760839272570653,41.42645760698025
individualists,55.36486133210726,15.129775007893437,3.9078399004528523,40.235086324213825
libertarians,90.04094434099758,58.31405512752341,28.055138300942804,31.726889213474173
authoritarians,71.9448616990572,41.00716018010027,9.95905565900241,30.937701518956928
industrialists,39.0684333889836,13.836654950426501,7.217451933699137,25.2317784385571
theocrats,29.19878670891816,13.639463517595834,7.524730965171353,15.559323191322326
socialists,96.23916072742934,82.7351305605886,41.95949111829837,13.504030166840735
collectivists,96.09216009954714,83.5957592791928,44.63513866789274,12.496400820354339
progressives,96.64823111366596,86.98512239640364,48.87424338833709,9.663108717262318
environmentalists,92.78254806630086,86.14427438792899,60.9315666110164,6.638273678371874
secularists,92.47526903482864,85.99874326525239,70.80121329108185,6.476525769576256
liberals,96.17750595794806,90.12705099840049,31.6371170291551,6.050454959547565
